Name,Lat,Lon,tp_probb,tp_probn,tp_proba
ABERCORN,-25.136,151.127,29.2615547180176,34.049072265625,36.6893730163574
ABERDEEN (ROSSGOLE),-32.14,150.729,30.5956325531006,33.5577278137207,35.8466415405273
ADAMINABY ALPINE TOURIST PARK,-35.996,148.769,32.8715934753418,31.3060531616211,35.8223533630371
ADDINGTON,-37.415,143.672,32.2218055725098,32.4425163269043,35.3356781005859
ADELAIDE (GLEN OSMOND),-34.96,138.642,30.9613094329834,34.2044410705566,34.8342514038086
ADELAIDE (HOPE VALLEY RESERVOIR),-34.856,138.684,30.9613094329834,34.2044410705566,34.8342514038086
ADELAIDE (KENT TOWN),-34.921,138.622,30.9613094329834,34.2044410705566,34.8342514038086
ADELAIDE (MORPHETTVILLE RACECOURSE),-34.974,138.543,30.9613094329834,34.2044410705566,34.8342514038086
ADELAIDE (POORAKA),-34.832,138.612,30.9613094329834,34.2044410705566,34.8342514038086
ADELAIDE (SALISBURY BOWLING CLUB),-34.767,138.643,30.9613094329834,34.2044410705566,34.8342514038086
ADELAIDE (SEATON),-34.898,138.509,30.9613094329834,34.2044410705566,34.8342514038086
ADELAIDE (TEA TREE GULLY COUNCIL),-34.831,138.705,30.9613094329834,34.2044410705566,34.8342514038086
ADELAIDE AIRPORT,-34.952,138.52,30.9613094329834,34.2044410705566,34.8342514038086
ADELONG (ETHAM PARK),-35.302,147.94,31.1770687103271,33.1073532104492,35.7155799865723
ADELONG POST OFFICE,-35.308,148.065,31.1770687103271,33.1073532104492,35.7155799865723
ADINA,-33.881,122.217,32.277702331543,32.641975402832,35.080322265625
AINSLIE TYSON ST,-35.258,149.142,32.8715934753418,31.3060531616211,35.8223533630371
AIREYS INLET,-38.458,144.088,33.2562522888184,32.998893737793,33.7448539733887
ALAWOONA,-34.731,140.504,31.6636161804199,33.4192314147949,34.9171485900879
ALAWOONA (SCHELLS WELL),-34.788,140.5,31.6636161804199,33.4192314147949,34.9171485900879
ALBANY,-35.029,117.881,31.2382965087891,34.8355369567871,33.9261665344238
ALBURY AIRPORT,-36.071,146.955,29.9807891845703,34.3145942687988,35.7046165466309
ALBURY AIRPORT AWS,-36.069,146.951,29.9807891845703,34.3145942687988,35.7046165466309
ALDERVALE,-33.978,116.334,33.045654296875,34.4276580810547,32.5266876220703
ALDGATE,-35.022,138.735,31.9518566131592,33.4486274719238,34.5995178222656
ALECTOWN (CAWDOR),-32.987,148.229,30.4847583770752,31.1568222045898,38.3584213256836
ALEPPO,-31.445,117.222,26.8949317932129,31.3789386749268,41.726131439209
ALEXANDRA BRIDGE,-34.161,115.187,31.0263576507568,33.5870666503906,35.3865776062012
ALICE SPRINGS AIRPORT,-23.795,133.889,30.8697471618652,33.8975143432617,35.232738494873
ALLAN ROCKS,-32.632,119.096,26.6023368835449,32.5038299560547,40.8938369750977
ALMADEN,-17.339,144.68,28.7867984771729,32.4314041137695,38.7817993164062
ALNI,-22.154,142.49,32.5672035217285,33.0754585266113,34.3573379516602
ALONNAH AREA SCHOOL,-43.319,147.245,34.6072425842285,32.1731033325195,33.219654083252
ALVA BEACH,-19.457,147.483,32.4280776977539,34.3585433959961,33.21337890625
AMELUP,-34.255,118.221,29.0727138519287,32.7172050476074,38.2100791931152
AMMAROO,-21.75,135.238,31.0505523681641,31.1161861419678,37.8332633972168
AMRISTA PARK,-32.66,118.632,26.6023368835449,32.5038299560547,40.8938369750977
ANAKIE RICHARDSON ST,-23.552,147.746,29.1256237030029,32.2452964782715,38.6290817260742
ANDAMOOKA,-30.449,137.169,30.8067455291748,32.5550231933594,36.6382293701172
ANGLEDOOL (ANGLEDOOL STATION),-29.117,147.899,27.5380153656006,30.0573902130127,42.4045944213867
ANNUELLO,-34.85,142.781,31.0245933532715,34.4467163085938,34.5286903381348
ANRO,-30.368,116.265,27.3284282684326,31.5958805084229,41.0756912231445
APOLLO BAY,-38.757,143.668,33.2562522888184,32.998893737793,33.7448539733887
APPILA,-33.052,138.428,29.5622119903564,33.5639190673828,36.8738670349121
APPLETHORPE,-28.622,151.953,29.904541015625,33.3644332885742,36.7310256958008
APSLEY (PARKI),-42.416,147.135,34.4861221313477,33.9415054321289,31.5723705291748
APSLEY (POST OFFICE),-36.968,141.083,33.3319892883301,31.709545135498,34.9584655761719
AQUA PARK,-25.774,149.773,28.8276214599609,34.7255783081055,36.4468002319336
ARALUEN LOWER (ARALUEN RD),-35.686,149.839,28.1278686523438,33.5996170043945,38.2725143432617
ARAMAC POST OFFICE,-22.972,145.245,31.0392513275146,31.6878299713135,37.2729187011719
ARANDA (BINDAGA ST),-35.257,149.074,32.8715934753418,31.3060531616211,35.8223533630371
ARARAT PRISON,-37.278,142.981,32.0833892822266,32.8116111755371,35.1049995422363
ARCHERTON,-36.906,146.239,30.9468517303467,33.917839050293,35.1353073120117
ARDATH,-32.016,118.072,26.4074192047119,32.8540191650391,40.7385635375977
ARDLETHAN (GLENGARRY),-34.208,146.857,24.449348449707,32.8747596740723,42.6758918762207
ARDLETHAN POST OFFICE,-34.357,146.903,24.449348449707,32.8747596740723,42.6758918762207
ARDROSSAN,-34.423,137.918,30.8113632202148,34.3486404418945,34.8399963378906
ARDROSSAN (VITANA),-34.472,137.885,30.8113632202148,34.3486404418945,34.8399963378906
ARDROSSAN (WINULTA),-34.278,137.861,30.8113632202148,34.3486404418945,34.8399963378906
ARENA,-29.359,115.45,24.8623542785645,33.2834205627441,41.8542251586914
ARGYLE AERODROME,-16.638,128.452,36.1788902282715,28.9005146026611,34.9205932617188
ARIAH PARK POST OFFICE,-34.348,147.221,24.449348449707,32.8747596740723,42.6758918762207
ARKAROOLA,-30.311,139.336,29.9102001190186,32.2230644226074,37.8667373657227
ARMIDALE (TREE GROUP NURSERY),-30.526,151.67,30.1517944335938,33.1021766662598,36.7460289001465
ARMIDALE AIRPORT AWS,-30.527,151.616,30.1517944335938,33.1021766662598,36.7460289001465
ARNO BAY,-33.912,136.57,30.8226451873779,32.8415451049805,36.3358116149902
ARTHUR RIVER,-33.339,117.035,31.6556568145752,34.6339797973633,33.7103614807129
ARTHURVILLE (CRAMOND),-32.498,148.749,31.1629676818848,29.9176940917969,38.9193382263184
ARVE VALLEY (ARVE ROAD),-43.146,146.79,34.6072425842285,32.1731033325195,33.219654083252
ASHFORD (BURRABOGIE),-29.399,151.411,29.3113136291504,32.3121604919434,38.3765258789062
ASHFORD (SPRINGVALE),-29.341,151.289,29.3113136291504,32.3121604919434,38.3765258789062
ASHTON CO-OP,-34.942,138.727,30.9613094329834,34.2044410705566,34.8342514038086
ASTON DOWNS,-33.791,115.319,32.5794792175293,34.0962295532227,33.3242950439453
ATTUNGA (BROOKLYN),-30.797,150.86,29.1658020019531,32.1015014648438,38.7326965332031
ATTUNGA (GARTHOWEN),-30.911,150.858,29.1658020019531,32.1015014648438,38.7326965332031
ATTUNGA (MINDEROO),-30.842,150.91,29.1658020019531,32.1015014648438,38.7326965332031
ATTUNGA (THE PINES),-30.931,150.787,29.1658020019531,32.1015014648438,38.7326965332031
AUBURN,-34.026,138.685,30.9613094329834,34.2044410705566,34.8342514038086
AUSTRALIA PLAINS,-34.095,139.154,30.9613094329834,34.2044410705566,34.8342514038086
AVENEL (POST OFFICE),-36.893,145.232,31.4971542358398,32.4115295410156,36.0913162231445
AVOCA (POST OFFICE),-37.089,143.475,32.0833892822266,32.8116111755371,35.1049995422363
AVOCA (RAILWAY HOUSE),-41.78,147.726,33.1471099853516,33.5159568786621,33.3369369506836
AYR DPI RESEARCH STN,-19.617,147.376,32.4280776977539,34.3585433959961,33.21337890625
BAANDEE NORTH,-31.367,117.903,24.7639122009277,30.5539207458496,44.6821670532227
BABINDA POST OFFICE,-17.344,145.922,30.8173274993896,33.2734527587891,35.9092216491699
BADGEBUP,-33.636,117.928,27.0476169586182,33.1565971374512,39.7957878112793
BADGINGARRA RESEARCH STN,-30.338,115.539,27.3284282684326,31.5958805084229,41.0756912231445
BAJOOL POST OFFICE,-23.652,150.645,30.6424179077148,34.6714859008789,34.6860961914062
BAKERS HILL CSIRO,-31.76,116.478,28.7937126159668,32.4838600158691,38.7224273681641
BALAKLAVA,-34.144,138.421,30.8113632202148,34.3486404418945,34.8399963378906
BALAKLAVA (WANAPPE),-33.994,138.454,29.5622119903564,33.5639190673828,36.8738670349121
BALGERBINE,-30.291,116.331,27.3284282684326,31.5958805084229,41.0756912231445
BALLARAT AERODROME,-37.513,143.791,32.2218055725098,32.4425163269043,35.3356781005859
BALLAYING,-33.328,117.563,27.0476169586182,33.1565971374512,39.7957878112793
BALLIDU,-30.597,116.771,24.7319355010986,31.1648578643799,44.1032066345215
BALLINA AIRPORT AWS,-28.835,153.559,35.2862892150879,33.0234680175781,31.6902408599854
BALLINE,-28.006,114.221,24.5903701782227,32.7753105163574,42.6343193054199
BALMORAL (POST OFFICE),-37.247,141.842,32.8670616149902,32.4074897766113,34.7254524230957
BALRANALD (RSL),-34.64,143.561,30.36012840271,34.4941177368164,35.145751953125
BAMBAROO,-18.883,146.17,32.7443580627441,33.5686950683594,33.6869468688965
BANGALUP,-34.468,116.917,29.1017875671387,34.3998870849609,36.4983291625977
BANNISTER,-32.684,116.519,29.4661769866943,33.7535362243652,36.7802886962891
BARADINE FORESTRY,-30.947,149.066,28.2588691711426,31.5140743255615,40.2270584106445
BARAMBA,-31.077,115.508,28.7937126159668,32.4838600158691,38.7224273681641
BARBERTON,-30.729,116.021,27.3284282684326,31.5958805084229,41.0756912231445
BARCALDINE POST OFFICE,-23.554,145.288,30.9963397979736,32.2819747924805,36.7216835021973
BARKLY,-36.955,143.188,31.6351203918457,33.0173835754395,35.3474960327148
BARMOUNT,-22.534,149.095,30.28977394104,31.9671115875244,37.7431144714355
BARRABA (CLIFTON LANE),-30.378,150.61,29.1658020019531,32.1015014648438,38.7326965332031
BARRABA (MOUNT LINDSAY),-30.321,150.273,28.7781867980957,31.6109943389893,39.6108207702637
BARRENGARRY (THE OLD SCHOOL HOUSE),-34.687,150.525,29.9484767913818,32.5022964477539,37.5492286682129
BARRETT MEADOWS,-34.98,117.632,29.0727138519287,32.7172050476074,38.2100791931152
BARRINGTON POST OFFICE,-41.338,146.279,32.9836730957031,34.2250900268555,32.7912368774414
BARROW ISLAND AIRPORT,-20.875,115.406,26.9669589996338,31.8275413513184,41.2054977416992
BATCHELOR AERO,-13.055,131.025,36.4972915649414,28.5953903198242,34.9073181152344
BATEMANS BAY - BUCKENBOWRA,-35.734,150.051,28.1278686523438,33.5996170043945,38.2725143432617
BATHURST,-33.126,118.196,27.0476169586182,33.1565971374512,39.7957878112793
BATHURST AGRICULTURAL STATION,-33.429,149.556,31.736011505127,28.9374237060547,39.3265647888184
BATHURST AIRPORT AWS,-33.412,149.654,31.736011505127,28.9374237060547,39.3265647888184
BATLOW (HALLOWEEN),-35.553,147.983,31.1770687103271,33.1073532104492,35.7155799865723
BAUHINIA DOWNS STORE,-24.571,149.292,29.000114440918,33.0864486694336,37.9134368896484
BEACHPORT,-37.486,140.012,33.8923187255859,32.1128730773926,33.9948081970215
BEACONSFIELD (GRUBB SHAFT MUSEUM),-41.203,146.816,33.2666893005371,34.9785614013672,31.7547492980957
BEALIBA,-36.789,143.544,31.8324432373047,32.1369018554688,36.0306587219238
BEARDMORE DAM,-27.907,148.651,27.7805976867676,32.8094596862793,39.4099426269531
BEARDY JUNCTION,-29.169,151.342,29.3113136291504,32.3121604919434,38.3765258789062
BEAUFORT,-37.448,143.366,32.0833892822266,32.8116111755371,35.1049995422363
BEAUFORT (SHEEPWASH),-37.504,143.279,32.0833892822266,32.8116111755371,35.1049995422363
BEAUMARIS (SKYLINE DRIVE),-41.414,148.269,33.1471099853516,33.5159568786621,33.3369369506836
BEAUMONT (THE CEDARS),-34.768,150.562,29.9484767913818,32.5022964477539,37.5492286682129
BEAUMONT WEST,-33.485,122.587,32.1490364074707,32.6019859313965,35.2489776611328
BEAZLEYS BRIDGE,-36.699,143.159,31.6351203918457,33.0173835754395,35.3474960327148
BEEAC (POST OFFICE),-38.196,143.64,33.2562522888184,32.998893737793,33.7448539733887
BEECHWORTH COMPOSITE,-36.37,146.713,29.9807891845703,34.3145942687988,35.7046165466309
BEGA (NEWTOWN ROAD),-36.688,149.838,29.6296977996826,31.6078567504883,38.7624473571777
BEGA AWS,-36.672,149.819,29.6296977996826,31.6078567504883,38.7624473571777
BELAH PARK,-27.207,150.283,29.2676849365234,32.6834869384766,38.048828125
BELAIR (STATE FLORA NURSERY),-35.008,138.65,31.9518566131592,33.4486274719238,34.5995178222656
BELFRAYDEN (NORTH MAYFIELD),-35.162,147.027,28.5586967468262,33.5217971801758,37.919506072998
BELKA,-31.728,118.111,24.7639122009277,30.5539207458496,44.6821670532227
BELL BAY (TEMCO),-41.133,146.846,33.2666893005371,34.9785614013672,31.7547492980957
BELL STORE,-26.932,151.45,30.2062911987305,33.765453338623,36.0282554626465
BELLATA (ABERFELDIE),-29.84,149.321,28.554256439209,31.5446243286133,39.9011192321777
BELLENDEN KER BOTTOM STN,-17.27,145.9,30.8173274993896,33.2734527587891,35.9092216491699
BELLENDEN KER TOP STN,-17.264,145.854,30.8173274993896,33.2734527587891,35.9092216491699
BELOWRA STATION,-36.201,149.711,29.6296977996826,31.6078567504883,38.7624473571777
BELTANA ROADHOUSE,-30.841,138.322,29.8498935699463,32.802921295166,37.3471832275391
BELVEDERE,-24.328,149.856,29.3636512756348,33.0682144165039,37.5681343078613
BEMBOKA POST OFFICE,-36.628,149.571,29.6296977996826,31.6078567504883,38.7624473571777
BENAMBRA (EVANDALE),-36.947,147.739,33.601863861084,30.8243656158447,35.5737686157227
BENAMBRA (THE BROTHERS),-36.943,147.777,33.601863861084,30.8243656158447,35.5737686157227
BENCUBBIN,-30.808,117.86,22.2981548309326,30.1067562103271,47.5950889587402
BENDALONG (JACARANDA AV),-35.247,150.531,27.8536472320557,33.405086517334,38.741268157959
BENDERING,-32.387,118.262,26.4074192047119,32.8540191650391,40.7385635375977
BENDIGO AIRPORT,-36.739,144.327,31.8324432373047,32.1369018554688,36.0306587219238
BERIA,-30.407,118.28,22.2981548309326,30.1067562103271,47.5950889587402
BERKSHIRE VALLEY,-30.583,116.135,27.3284282684326,31.5958805084229,41.0756912231445
BERRI,-34.272,140.596,31.6636161804199,33.4192314147949,34.9171485900879
BERRIDALE (MYACK STREET),-36.368,148.828,32.8492279052734,31.9614105224609,35.1893615722656
BERRIMA WEST (MEDWAY (WOMBAT CREEK)),-34.484,150.287,30.2677421569824,31.7085781097412,38.0236778259277
BETTOWYND (CONDRY),-35.701,149.79,28.1278686523438,33.5996170043945,38.2725143432617
BEULAH,-35.938,142.42,32.3568534851074,32.3916320800781,35.2515182495117
BEVENDALE (RIVERVIEW),-34.533,149.121,32.7662963867188,29.0440559387207,38.1896476745605
BEVERLEY,-32.108,116.925,29.4661769866943,33.7535362243652,36.7802886962891
BIALA (ALVISON),-34.561,149.25,32.7662963867188,29.0440559387207,38.1896476745605
BIBOOHRA,-16.892,145.419,27.9093399047852,32.5177726745605,39.5728874206543
BICKLEY,-32.008,116.137,31.3476238250732,34.5436134338379,34.1087646484375
BIDELLIA,-34.226,115.762,30.6302490234375,33.8236770629883,35.546070098877
BIDYADANGA,-18.684,121.78,31.1165866851807,30.6759071350098,38.2075080871582
BIG HILL (GLEN DUSK),-34.568,149.997,30.2677421569824,31.7085781097412,38.0236778259277
BINGARA POST OFFICE,-29.867,150.572,29.3113136291504,32.3121604919434,38.3765258789062
BINGIL BAY,-17.835,146.099,30.8173274993896,33.2734527587891,35.9092216491699
BIRCHIP (MARLBED),-35.796,142.877,32.5095329284668,31.7816009521484,35.7088661193848
BIRCHIP (WOODLANDS),-35.924,142.851,32.5095329284668,31.7816009521484,35.7088661193848
BIRCHIP CROPPING GROUP,-35.987,142.915,32.5095329284668,31.7816009521484,35.7088661193848
BIRDWOOD,-34.815,138.947,30.9613094329834,34.2044410705566,34.8342514038086
BIRDWOOD,-31.342,152.341,31.4927921295166,33.362907409668,35.1442985534668
BIRRA BIRRA,-28.609,148.661,28.5934810638428,31.757776260376,39.6487426757812
BIRRABAN,-24.334,147.943,29.0086631774902,32.8507270812988,38.1406097412109
BIRREGURRA (POST OFFICE),-38.337,143.784,33.2562522888184,32.998893737793,33.7448539733887
BLACK POINT,-11.154,132.143,32.1827278137207,32.7662162780762,35.0510559082031
BLACK SWAMP (MAXWELL),-28.978,152.155,29.904541015625,33.3644332885742,36.7310256958008
BLACKALL TOWNSHIP,-24.424,145.465,29.6311511993408,33.868579864502,36.5002670288086
BLACKBUTT POST OFFICE,-26.884,152.101,31.0349273681641,33.6288871765137,35.3361892700195
BLACKVILLE (KRUI VALE),-31.847,150.341,28.6440277099609,31.7486152648926,39.6073570251465
BLACKVILLE POST OFFICE,-31.641,150.236,28.6440277099609,31.7486152648926,39.6073570251465
BLACKWOOD (WITTUNGA),-35.022,138.61,31.9518566131592,33.4486274719238,34.5995178222656
BLANCHETOWN (WYN-MOOR),-34.418,139.782,31.3751449584961,33.6206817626953,35.0041732788086
BLANCHETOWN LOCK 1,-34.352,139.615,31.3751449584961,33.6206817626953,35.0041732788086
BLAYNEY (ORANGE ROAD),-33.528,149.247,30.6172542572021,30.9080352783203,38.4747085571289
BLINMAN,-31.094,138.679,30.2788581848145,32.7340545654297,36.9870872497559
BLINMAN (MOOLOOLOO),-30.99,138.579,29.9102001190186,32.2230644226074,37.8667373657227
BLOWERING DAM,-35.395,148.247,31.1770687103271,33.1073532104492,35.7155799865723
BLYTH,-33.845,138.49,29.5622119903564,33.5639190673828,36.8738670349121
BOBIN (BOBIN CREEK),-31.688,152.269,31.4927921295166,33.362907409668,35.1442985534668
BODALLA POST OFFICE,-36.088,150.051,29.6296977996826,31.6078567504883,38.7624473571777
BODALLIN SOUTH,-31.642,118.902,24.1015148162842,31.4788970947266,44.4195899963379
BODDINGTON SHIRE,-32.805,116.471,31.3476238250732,34.5436134338379,34.1087646484375
BOGGABRI (KANOWNDA),-30.512,150.212,28.7781867980957,31.6109943389893,39.6108207702637
BOGGABRI (NEOTSFIELD),-30.82,149.837,28.7781867980957,31.6109943389893,39.6108207702637
BOGGABRI (PENRYN),-30.707,150.289,28.7781867980957,31.6109943389893,39.6108207702637
BOGGABRI POST OFFICE,-30.706,150.046,28.7781867980957,31.6109943389893,39.6108207702637
BOIGBEAT,-35.55,142.921,32.5095329284668,31.7816009521484,35.7088661193848
BOLLON MARY ST,-28.034,147.48,27.687292098999,30.9495372772217,41.3631706237793
BOMBALA (THERRY STREET),-36.911,149.238,32.8492279052734,31.9614105224609,35.1893615722656
BOMBALA AWS,-37.002,149.234,31.7309646606445,31.6323871612549,36.636646270752
BONANG,-37.171,148.723,31.7309646606445,31.6323871612549,36.636646270752
BONNEY DOWNS,-22.183,119.935,27.004301071167,31.3278293609619,41.6678695678711
BONNIE ROCK,-30.473,118.382,22.2981548309326,30.1067562103271,47.5950889587402
BOOBOROWIE,-33.564,138.76,30.6083793640137,34.3498992919922,35.0417213439941
BOODAROCKIN,-31.06,118.837,24.1015148162842,31.4788970947266,44.4195899963379
BOODJERAKINE,-31.499,117.412,26.8949317932129,31.3789386749268,41.726131439209
BOOLARDY,-26.984,116.536,18.3682727813721,30.4215660095215,51.2101593017578
BOOLCOOMATTA,-31.97,140.544,30.5557651519775,33.6944923400879,35.7497406005859
BOOLEROO CENTRE,-32.881,138.352,31.5232639312744,32.7637519836426,35.7129859924316
BOOLEROO CENTRE (WILLOWIE),-32.692,138.325,31.5232639312744,32.7637519836426,35.7129859924316
BOOLIGAL (BELMONT),-33.844,144.907,27.8141136169434,32.7729530334473,39.4129333496094
BOONA-CHOPPA,-24.841,152.242,32.1522407531738,33.6335754394531,34.2141799926758
BOONOO BOONOO (CURRAWONG),-28.887,152.114,29.904541015625,33.3644332885742,36.7310256958008
BOORALEE,-32.401,118.606,26.6023368835449,32.5038299560547,40.8938369750977
BOOROONDARRA,-22.818,148.49,29.3194484710693,31.7885112762451,38.8920402526855
BOORT (GREDGWIN),-35.974,143.61,31.8733825683594,31.9172229766846,36.2093963623047
BORDEN,-34.072,118.263,29.0727138519287,32.7172050476074,38.2100791931152
BORDERTOWN (BEEAMA SECTION 48),-36.606,140.712,33.3319892883301,31.709545135498,34.9584655761719
BOTHWELL (FRANKLIN STREET),-42.388,147.006,34.4861221313477,33.9415054321289,31.5723705291748
BOULIA AIRPORT,-22.912,139.904,33.3133125305176,32.1403846740723,34.5463027954102
BOUNDARY BEND,-34.716,143.151,31.0245933532715,34.4467163085938,34.5286903381348
BOURKE AIRPORT AWS,-30.036,145.952,30.3923206329346,28.8165740966797,40.7911033630371
BOWER,-34.123,139.351,30.9613094329834,34.2044410705566,34.8342514038086
BOWGADA,-29.33,116.143,24.1643085479736,31.9043827056885,43.9313087463379
BOWMANS CREEK (GRENELL),-32.271,151.144,30.5956325531006,33.5577278137207,35.8466415405273
BOWRAVILLE (COW COWNTY),-30.669,152.764,32.640193939209,34.3837013244629,32.9761047363281
BOWRAVILLE RECREATION CLUB,-30.65,152.849,32.640193939209,34.3837013244629,32.9761047363281
BRAEMAR,-33.187,139.621,31.5434322357178,33.7348976135254,34.7216720581055
BRAIDWOOD (KRAWARREE),-35.824,149.633,28.1278686523438,33.5996170043945,38.2725143432617
BRAIDWOOD (WALLACE STREET),-35.449,149.799,28.1278686523438,33.5996170043945,38.2725143432617
BRANXTON (DALWOOD VINEYARD),-32.639,151.417,30.5956325531006,33.5577278137207,35.8466415405273
BRAYS CREEK (MISTY MOUNTAIN),-28.396,153.193,32.1032104492188,33.8209266662598,34.0758628845215
BRAYTON (LONGREACH),-34.639,149.954,30.2677421569824,31.7085781097412,38.0236778259277
BREAKELL,-31.992,118.026,24.7639122009277,30.5539207458496,44.6821670532227
BREEZA (THE PARK),-31.166,150.544,30.2942371368408,32.8465576171875,36.859203338623
BREWARRINA (EUMARRA),-30.175,146.972,29.2753295898438,28.3940811157227,42.3305892944336
BREWARRINA (YAPPALEE),-29.974,147.049,27.5402450561523,30.4570007324219,42.0027542114258
BREWARRINA HOSPITAL,-29.961,146.865,27.5402450561523,30.4570007324219,42.0027542114258
BRIAGOLONG,-37.835,147.082,32.0040054321289,33.7616081237793,34.2343864440918
BRIARWOOD,-24.15,151.5,32.1522407531738,33.6335754394531,34.2141799926758
BRICKHOUSE,-24.821,113.785,21.8527317047119,31.6021499633789,46.5451202392578
BRIDGETOWN,-33.949,116.131,33.045654296875,34.4276580810547,32.5266876220703
BRIDGEWATER,-35.01,138.76,31.9518566131592,33.4486274719238,34.5995178222656
BRINDABELLA (KOOLAMI),-35.388,148.748,32.8715934753418,31.3060531616211,35.8223533630371
BRINKWORTH,-33.695,138.406,29.5622119903564,33.5639190673828,36.8738670349121
BRINKWORTH (BUNGAREE),-33.746,138.563,30.6083793640137,34.3498992919922,35.0417213439941
BROADMEADOWS,-23.402,150.632,30.6424179077148,34.6714859008789,34.6860961914062
BROGO (HAWKS HEAD ROAD),-36.568,149.751,29.6296977996826,31.6078567504883,38.7624473571777
BROGO DAM,-36.495,149.743,29.6296977996826,31.6078567504883,38.7624473571777
BROKE (HARROWBY),-32.767,151.087,30.5956325531006,33.5577278137207,35.8466415405273
BROKEN HILL (LANGAWIRRA),-31.446,142.135,29.5627937316895,33.113712310791,37.3234939575195
BROKEN HILL (STEPHENS CREEK RESERVOIR),-31.88,141.593,29.5627937316895,33.113712310791,37.3234939575195
BROKEN HILL (WATERBAG),-31.484,142.332,29.5627937316895,33.113712310791,37.3234939575195
BRONZEWING,-35.189,142.373,32.3568534851074,32.3916320800781,35.2515182495117
BROOKSTEAD POST OFFICE,-27.758,151.448,30.5867137908936,33.2469673156738,36.1663208007812
BROOKTON,-32.373,117.007,29.4661769866943,33.7535362243652,36.7802886962891
BROOME AIRPORT,-17.948,122.235,31.8921680450439,31.2651081085205,36.8427238464355
BROOMEHILL,-33.846,117.639,27.0476169586182,33.1565971374512,39.7957878112793
BRUCE,-32.462,138.2,31.5232639312744,32.7637519836426,35.7129859924316
BRUCE (AUSTRALIAN INSTITUTE OF SPORT),-35.246,149.107,32.8715934753418,31.3060531616211,35.8223533630371
BRUCE ROCK,-31.878,118.15,24.7639122009277,30.5539207458496,44.6821670532227
BRUNETTE DOWNS,-18.639,135.947,32.6697044372559,33.1128158569336,34.2174758911133
BRUNGLE (BONNIE DOON),-35.169,148.231,31.1770687103271,33.1073532104492,35.7155799865723
BRUNSWICK JUNCTION,-33.252,115.841,33.045654296875,34.4276580810547,32.5266876220703
BRUSHGROVE POST OFFICE,-29.567,153.081,31.6598644256592,34.32568359375,34.0144500732422
BRUSLEE,-21.077,146.513,30.2741012573242,30.9710140228271,38.7548828125
BRUTHEN (POST OFFICE),-37.709,147.83,33.6546325683594,31.2593860626221,35.0859832763672
BUANGOR (CRAIGIE),-37.36,143.196,32.0833892822266,32.8116111755371,35.1049995422363
BUCHAN SOUTH,-37.545,148.136,33.6546325683594,31.2593860626221,35.0859832763672
BUCKLAND (BROCKLEY),-42.585,147.791,33.8909339904785,32.7455520629883,33.3635139465332
BUCKLEBOO (HI-VIEW),-32.921,136,28.1147441864014,33.3335952758789,38.5516624450684
BUCKLEBOO (KARINYA),-32.9,136.186,28.1147441864014,33.3335952758789,38.5516624450684
BUKALONG STATION,-36.797,149.197,32.8492279052734,31.9614105224609,35.1893615722656
BULAHDELAH POST OFFICE,-32.413,152.208,32.0371704101562,33.4203796386719,34.5424499511719
BULGA (DOWN TOWN),-32.654,151.021,30.5956325531006,33.5577278137207,35.8466415405273
BULGA (SOUTH WAMBO),-32.613,150.976,30.5956325531006,33.5577278137207,35.8466415405273
BULGA DOWNS,-28.497,119.744,14.5316104888916,29.7552585601807,55.7131309509277
BULLFINCH,-30.987,119.114,20.748348236084,29.3567295074463,49.8949241638184
BULONG,-30.75,121.752,18.4192886352539,30.912691116333,50.6680183410645
BULYEE,-32.376,117.513,26.4074192047119,32.8540191650391,40.7385635375977
BUNBURY,-33.357,115.645,33.045654296875,34.4276580810547,32.5266876220703
BUNDABERG SUGAR RES STN,-24.85,152.399,32.1522407531738,33.6335754394531,34.2141799926758
BUNDANOON BOWLING CLUB,-34.653,150.304,30.2677421569824,31.7085781097412,38.0236778259277
BUNDARRA (BEVERLEY),-30.098,151.008,29.1658020019531,32.1015014648438,38.7326965332031
BUNGONIA (INVERARY PARK),-34.9,149.971,30.2677421569824,31.7085781097412,38.0236778259277
BUNGULLA,-31.623,117.543,24.7639122009277,30.5539207458496,44.6821670532227
BUNNAN (MILHAVEN),-32.033,150.584,30.5956325531006,33.5577278137207,35.8466415405273
BURCHER POST OFFICE,-33.516,147.254,25.0212917327881,33.0260620117188,41.9526443481445
BURDEKIN SHIRE COUNCIL,-19.578,147.408,32.4280776977539,34.3585433959961,33.21337890625
BURILDA,-28.142,150.132,29.767707824707,31.7614803314209,38.4708137512207
BURKES FLAT,-36.672,143.552,31.8324432373047,32.1369018554688,36.0306587219238
BURKETOWN POST OFFICE,-17.743,139.548,35.1231727600098,30.1148624420166,34.761962890625
BURRA (LEIGHTON),-33.655,138.827,30.6083793640137,34.3498992919922,35.0417213439941
BURRA COMMUNITY SCHOOL,-33.678,138.937,30.6083793640137,34.3498992919922,35.0417213439941
BURRACOPPIN,-31.396,118.481,24.7639122009277,30.5539207458496,44.6821670532227
BURRINJUCK DAM,-35,148.598,32.8715934753418,31.3060531616211,35.8223533630371
BURROWYE STATION,-35.998,147.541,31.1770687103271,33.1073532104492,35.7155799865723
BURRUMBUTTOCK (HOLYROOD),-35.854,146.777,28.5586967468262,33.5217971801758,37.919506072998
BUSHY PARK (BUSHY PARK ESTATES),-42.71,146.898,34.4861221313477,33.9415054321289,31.5723705291748
